filing_date,trade_date,ticker,company,insider_name,title,trade_type,price,qty,owned,delta_own,value,cluster_buy
2026-02-23,2026-02-23,GNK,Genco Shipping & Trading Ltd,Adamo Joseph,Chief Accounting Officer,S - Sale+OE,23.67,-6340,38519,-14%,-150068,True
2026-02-23,2026-02-23,GNK,Genco Shipping & Trading Ltd,Wobensmith John C,"COB, CEO,, Pres",S - Sale+OE,23.66,-39244,564617,-6%,-928513,True
2026-02-23,2026-02-23,GNK,Genco Shipping & Trading Ltd,Christensen Jesper,Chief Commercial Officer,S - Sale+OE,23.66,-18450,98299,-16%,-436527,True
2026-02-23,2026-02-23,GNK,Genco Shipping & Trading Ltd,Allen Peter George,CFO,S - Sale+OE,23.66,-13315,66702,-17%,-315006,True
2026-02-23,2026-02-20,ARDX,"Ardelyx, Inc.",Mott David M,Dir,P - Purchase,5.84,333333,3302918,+11%,1946331,True
2026-02-23,2026-02-23,TDW,Tidewater Inc,Hudson Daniel A.,"EVP, GC",S - Sale,77.50,-15000,50986,-23%,-1162500,False
2026-02-23,2026-02-18,PLSE,"Pulse Biosciences, Inc.",Danahy Kevin Patrick,Chief Commercial Officer,S - Sale+OE,23.64,-5000,43298,-10%,-118200,False
2026-02-23,2026-02-20,ARDX,"Ardelyx, Inc.",Reilly Joseph James,See Remarks,S - Sale,5.85,-4991,151790,-3%,-29181,True
2026-02-23,2026-02-19,AVTR,"Avantor, Inc.",Lucier Gregory T,Dir,P - Purchase,9.16,50000,58736,+572%,458000,False
2026-02-23,2026-02-20,ARDX,"Ardelyx, Inc.",Williams Laura A,See Remarks,S - Sale,5.85,-8176,436082,-2%,-47803,True
2026-02-23,2026-02-20,ARDX,"Ardelyx, Inc.",Kelliher Mike,See Remarks,S - Sale,5.85,-9595,364666,-3%,-56099,True
2026-02-23,2026-02-20,ARDX,"Ardelyx, Inc.",Raab Michael,"Pres, CEO",S - Sale,5.85,-45982,1882350,-2%,-268841,True
2026-02-23,2026-02-20,ARDX,"Ardelyx, Inc.",Foster Eric Duane,Chief Commercial Officer,S - Sale,5.85,-10439,425970,-2%,-61034,True
2026-02-23,2026-02-19,ROIV,Roivant Sciences Ltd.,Torti Frank,"Pres, Vant Chair",S - Sale+OE,27.35,-3000000,13736547,-18%,-82039460,False
2026-02-23,2026-02-19,NET,"Cloudflare, Inc.",Zatlyn Michelle,"Pres, Board Co-Chair",S - Sale+OE,184.61,-86362,460940,-16%,-15943326,False
2026-02-23,2026-02-19,ABCB,Ameris Bancorp,Lahaise James A,Chief Strategy Officer,S - Sale,82.93,-6641,111470,-6%,-550738,False
2026-02-23,2026-02-19,RPC,"Ridgepost Capital, Inc.",Stewart Robert B Jr,Dir,P - Purchase,8.65,10000,144525,+7%,86500,False
2026-02-23,2026-02-19,KRYS,"Krystal Biotech, Inc.",Rossi Dino A,Dir,S - Sale+OE,261.41,-18950,78691,-19%,-4953694,False
2026-02-23,2026-02-20,USNA,Usana Health Sciences Inc,Foukas Joshua,GC,S - Sale+OE,21.35,-4461,0,-100%,-95220,False
2026-02-23,2026-02-19,IR,Ingersoll Rand Inc.,Humphrey John,Dir,S - Sale,95.90,-4300,23983,-15%,-412370,True
2026-02-23,2026-02-20,IR,Ingersoll Rand Inc.,Kini Vikram,"SVP, CFO",S - Sale+OE,96.50,-28367,98517,-22%,-2737416,True
2026-02-23,2026-02-19,MC,Moelis & Co,Watanabe Osamu R.,"GC, Secretary",S - Sale+OE,62.23,-2765,4981,-36%,-172066,False
2026-02-23,2026-02-19,EXEL,"Exelixis, Inc.",Aftab Dana,"EVP, Research, Development",S - Sale,44.35,-29873,669859,-4%,-1324868,False
2026-02-23,2026-02-19,TKR,Timken Co,Kyle Richard G,Dir,S - Sale,106.72,-10000,263272,-4%,-1067200,False
2026-02-23,2026-02-20,FSBC,Five Star Bancorp,Lee Michael Eugene,"SVP, Chief Regulatory Officer",S - Sale,39.30,-1200,35272,-3%,-47160,False
2026-02-23,2026-02-19,CENT,Central Garden & Pet Co,Ranelli John,Dir,S - Sale,34.50,-3668,11269,-25%,-126534,False
2026-02-23,2026-02-20,IOT,Samsara Inc.,Eltoukhy Adam,See remarks,S - Sale,26.79,-4688,363846,-1%,-125612,False
2026-02-23,2026-02-23,GRMN,Garmin Ltd,Minard Laurie A,"VP, HR",S - Sale,247.28,-837,5781,-13%,-206976,False
2026-02-23,2026-02-19,AMRC,"Ameresco, Inc.",Stavropoulos Nickolas,Dir,S - Sale+OE,34.15,-16100,14111,-53%,-549755,False
2026-02-23,2026-02-20,ENTG,Entegris Inc,Colella Joseph,"SVP, GC",S - Sale,131.49,-1580,45835,-3%,-207754,True
2026-02-23,2026-02-20,ENTG,Entegris Inc,Blachier Olivier,"SVP, Chief Strategy Officer",S - Sale,131.49,-1664,29497,-5%,-218799,True
2026-02-23,2026-02-19,RUSHA,Rush Enterprises Inc Tx,Goldstone Michael L,"SVP, GC, Corp. Sec.",S - Sale+OE,71.86,-4500,12590,-26%,-323383,True
2026-02-23,2026-02-19,RUSHA,Rush Enterprises Inc Tx,McRoberts Michael,Senior Advisor and Director,S - Sale+OE,70.81,-8000,16229,-33%,-566470,True
2026-02-23,2026-02-19,RUSHA,Rush Enterprises Inc Tx,Pollard Jody,SVP,S - Sale+OE,71.92,-11250,3385,-77%,-809087,True
2026-02-23,2026-02-20,ENTG,Entegris Inc,Lagorga Linda,"SVP, CFO",S - Sale+OE,135.00,-11438,33810,-25%,-1544130,True
2026-02-23,2026-02-19,LEE,"Lee Enterprises, Inc",Hoffmann David Henry,"Dir, 10%",P - Purchase,8.65,36400,11592039,0%,314784,False
2026-02-23,2026-02-23,RXT,"Rackspace Technology, Inc.",Marino Mark A.,CFO,S - Sale,1.63,-234683,2193115,-10%,-382533,False
2026-02-23,2026-02-20,ITRI,"Itron, Inc.",Wright David Marshall,"VP, Corp. Controller, CAO",S - Sale,100.17,-264,9124,-3%,-26444,True
2026-02-23,2026-02-19,CRCT,"Cricut, Inc.",Ashish Arora,"CEO, 10%",S - Sale,4.56,-180000,3798453,-5%,-821664,False
2026-02-23,2026-02-20,ITRI,"Itron, Inc.",Reeves Donald L. III,"SVP, Outcomes",S - Sale,100.17,-1071,32069,-3%,-107278,True
2026-02-23,2026-02-20,ITRI,"Itron, Inc.",Ware Christopher E.,"SVP, GC, Corp. Secretary",S - Sale,100.17,-763,31043,-2%,-76427,True
2026-02-23,2026-02-20,ITRI,"Itron, Inc.",Pulatie-Hahn Laurie Ann,"SVP, HR",S - Sale,100.17,-729,32950,-2%,-73021,True
2026-02-23,2026-02-20,ITRI,"Itron, Inc.",Hooper Joan S,"SVP, CFO",S - Sale,100.17,-1426,122770,-1%,-142837,True
